,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
0,3,123,alfa-romero,dos,convertible,rwd,delantero,88.6,0.8111484863046613,0.8902777777777777,0.8160535117056856,2548,dohc,cuatro,130,mpfi,3.47,2.68,9.0,111,5000.0,11.19047619047619,8.703703703703704,13495.0,Low,False,True,True,False
1,3,123,alfa-romero,dos,convertible,rwd,delantero,88.6,0.8111484863046613,0.8902777777777777,0.8160535117056856,2548,dohc,cuatro,130,mpfi,3.47,2.68,9.0,111,5000.0,11.19047619047619,8.703703703703704,16500.0,Low,False,True,True,False
2,1,123,alfa-romero,dos,hatchback,rwd,delantero,94.5,0.8226814031715521,0.9097222222222222,0.8762541806020067,2823,ohcv,seis,152,mpfi,2.68,3.47,9.0,154,5000.0,12.368421052631579,9.038461538461538,16500.0,Medium,False,True,True,False
3,2,164,audi,cuatro,sedán,fwd,delantero,99.8,0.8486304661220567,0.9194444444444445,0.9080267558528428,2337,ohc,cuatro,109,mpfi,3.19,3.4,10.0,102,5500.0,9.791666666666666,7.833333333333333,13950.0,Low,False,True,True,False
4,2,164,audi,cuatro,sedán,4wd,delantero,99.4,0.8486304661220567,0.9222222222222223,0.9080267558528428,2824,ohc,cinco,136,mpfi,3.19,3.4,8.0,115,5500.0,13.055555555555555,10.681818181818182,17450.0,Low,False,True,True,False
5,2,123,audi,dos,sedán,fwd,delantero,99.8,0.8519942335415667,0.9208333333333333,0.8879598662207359,2507,ohc,cinco,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,9.4,15250.0,Low,False,True,True,False
6,1,158,audi,cuatro,sedán,fwd,delantero,105.8,0.9259971167707832,0.9916666666666667,0.931438127090301,2844,ohc,cinco,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,9.4,17710.0,Low,False,True,True,False
7,1,123,audi,cuatro,wagon,fwd,delantero,105.8,0.9259971167707832,0.9916666666666667,0.931438127090301,2954,ohc,cinco,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,9.4,18920.0,Low,False,True,True,False
8,2,192,bmw,dos,sedán,rwd,delantero,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2395,ohc,cuatro,108,mpfi,3.5,2.8,8.8,101,5800.0,10.217391304347826,8.10344827586207,16430.0,Low,False,True,True,False
9,0,192,bmw,cuatro,sedán,rwd,delantero,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2395,ohc,cuatro,108,mpfi,3.5,2.8,8.8,101,5800.0,10.217391304347826,8.10344827586207,16925.0,Low,False,True,True,False
10,0,188,bmw,dos,sedán,rwd,delantero,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2710,ohc,seis,164,mpfi,3.31,3.19,9.0,121,4250.0,11.19047619047619,8.392857142857142,20970.0,Medium,False,True,True,False
11,0,188,bmw,cuatro,sedán,rwd,delantero,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2765,ohc,seis,164,mpfi,3.31,3.19,9.0,121,4250.0,11.19047619047619,8.392857142857142,21105.0,Medium,False,True,True,False
12,1,123,bmw,cuatro,sedán,rwd,delantero,103.5,0.9082172032676598,0.9291666666666667,0.931438127090301,3055,ohc,seis,164,mpfi,3.31,3.19,9.0,121,4250.0,11.75,9.4,24565.0,Medium,False,True,True,False
13,0,123,bmw,cuatro,sedán,rwd,delantero,103.5,0.9082172032676598,0.9291666666666667,0.931438127090301,3230,ohc,seis,209,mpfi,3.62,3.39,8.0,182,5400.0,14.6875,10.681818181818182,30760.0,Medium,False,True,True,False
14,0,123,bmw,dos,sedán,rwd,delantero,103.5,0.9312830370014417,0.9430555555555556,0.8979933110367894,3380,ohc,seis,209,mpfi,3.62,3.39,8.0,182,5400.0,14.6875,10.681818181818182,41315.0,Medium,False,True,True,False
15,0,123,bmw,cuatro,sedán,rwd,delantero,110.0,0.9466602594906295,0.9847222222222223,0.9414715719063546,3505,ohc,seis,209,mpfi,3.62,3.39,8.0,182,5400.0,15.666666666666666,11.75,36880.0,Medium,False,True,True,False
16,2,121,chevrolet,dos,hatchback,fwd,delantero,88.4,0.6780394041326285,0.8374999999999999,0.8896321070234114,1488,l,tres,61,2bbl,2.91,3.03,9.5,48,5100.0,5.0,4.433962264150943,5151.0,Low,False,True,True,False
17,0,81,chevrolet,cuatro,sedán,fwd,delantero,94.5,0.7630946660259491,0.8833333333333333,0.8695652173913044,1909,ohc,cuatro,90,2bbl,3.03,3.11,9.6,70,5400.0,6.184210526315789,5.465116279069767,6575.0,Low,False,True,True,False
18,1,118, dodge, dos, hatchback, fwd, delantero,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973, 1876, ohc, cuatro, 90, 2bbl,2.97,3.23,9.41,68,5500.0,6.351351351351352,5.7317073170731705,5572.0,Low,False,True,True,False
19,1,118, dodge, dos, hatchback, fwd, delantero,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973, 1876, ohc, cuatro, 90, 2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,6.184210526315789,6377.0,Low,False,True,True,False
20,1,148, dodge, cuatro, hatchback, fwd, delantero,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463, 1967, ohc, cuatro, 90, 2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,6.184210526315789,6229.0,Low,False,True,True,False
21,1,148, dodge, cuatro, sedán, fwd, delantero,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463, 1989, ohc, cuatro, 90, 2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,6.184210526315789,6692.0,Low,False,True,True,False
22,1,148, dodge, cuatro, sedán, fwd, delantero,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463, 1989, ohc, cuatro, 90, 2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,6.184210526315789,7609.0,Low,False,True,True,False
23,-1,110,dodge,cuatro,wagon,fwd,delantero,103.3,0.8390197020663143,0.8972222222222221,1.0,2535,ohc,cuatro,122,2bbl,3.34,3.46,8.5,88,5000.0,9.791666666666666,7.833333333333333,8921.0,Low,False,True,True,False
24,1,101,honda,dos,hatchback,fwd,delantero,93.7,0.7208073041806824,0.8888888888888888,0.8795986622073579,1940,ohc,cuatro,92,1bbl,2.91,3.41,9.2,76,6000.0,7.833333333333333,6.911764705882353,6529.0,Low,False,True,True,False
25,1,101,honda,dos,hatchback,fwd,delantero,93.7,0.7208073041806824,0.8888888888888888,0.8795986622073579,1956,ohc,cuatro,92,1bbl,2.91,3.41,9.2,76,6000.0,7.833333333333333,6.911764705882353,7129.0,Low,False,True,True,False
26,0,110,honda,cuatro,sedán,fwd,delantero,96.5,0.7851994233541567,0.8888888888888888,0.911371237458194,2010,ohc,cuatro,92,1bbl,2.91,3.41,9.2,76,6000.0,7.833333333333333,6.911764705882353,7295.0,Low,False,True,True,False
27,0,85,honda,cuatro,sedán,fwd,delantero,96.5,0.8428640076886112,0.9055555555555556,0.9046822742474917,2304,ohc,cuatro,110,1bbl,3.15,3.58,9.0,86,5800.0,8.703703703703704,7.121212121212121,8845.0,Low,False,True,True,False
28,0,85,honda,cuatro,sedán,fwd,delantero,96.5,0.8428640076886112,0.8680555555555556,0.9046822742474917,2372,ohc,cuatro,110,1bbl,3.15,3.58,9.0,86,5800.0,8.703703703703704,7.121212121212121,10295.0,Low,False,True,True,False
29,0,85,honda,cuatro,sedán,fwd,delantero,96.5,0.8428640076886112,0.9055555555555556,0.9046822742474917,2465,ohc,cuatro,110,mpfi,3.15,3.58,9.0,101,5800.0,9.791666666666666,8.392857142857142,12945.0,Low,False,True,True,False
30,1,107,honda,dos,sedán,fwd,delantero,96.5,0.8125901009130225,0.9166666666666666,0.8528428093645485,2293,ohc,cuatro,110,2bbl,3.15,3.58,9.1,100,5500.0,9.4,7.580645161290323,10345.0,Low,False,True,True,False
31,0,123,isuzu,cuatro,sedán,rwd,delantero,94.3,0.8202787121576165,0.8583333333333333,0.8946488294314382,2337,ohc,cuatro,111,2bbl,3.31,3.23,8.5,78,4800.0,9.791666666666666,8.10344827586207,6785.0,Low,False,True,True,False
32,2,123,isuzu,dos,hatchback,rwd,delantero,96.0,0.8294089380105718,0.9055555555555556,0.8595317725752508,2734,ohc,cuatro,119,spfi,3.43,3.23,9.2,90,5000.0,9.791666666666666,8.10344827586207,11048.0,Low,False,True,True,False
33,0,145,jaguar,cuatro,sedán,rwd,delantero,113.0,0.9591542527630946,0.9666666666666666,0.882943143812709,4066,dohc,seis,258,mpfi,3.63,4.17,8.1,176,4750.0,15.666666666666666,12.368421052631579,32250.0,Medium,False,True,True,False
34,0,123,jaguar,cuatro,sedán,rwd,delantero,113.0,0.9591542527630946,0.9666666666666666,0.882943143812709,4066,dohc,seis,258,mpfi,3.63,4.17,8.1,176,4750.0,15.666666666666666,12.368421052631579,35550.0,Medium,False,True,True,False
35,0,123,jaguar,dos,sedán,rwd,delantero,102.0,0.921191734742912,0.9805555555555555,0.7993311036789298,3950,ohcv,doce,326,mpfi,3.54,2.76,11.5,262,5000.0,18.076923076923077,13.823529411764707,36000.0,High,False,True,True,False
36,1,104,mazda,dos,hatchback,fwd,delantero,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474917,1890,ohc,cuatro,91,2bbl,3.03,3.15,9.0,68,5000.0,7.833333333333333,7.580645161290323,5195.0,Low,False,True,True,False
37,1,104,mazda,dos,hatchback,fwd,delantero,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474917,1900,ohc,cuatro,91,2bbl,3.03,3.15,9.0,68,5000.0,7.580645161290323,6.184210526315789,6095.0,Low,False,True,True,False
38,1,104,mazda,dos,hatchback,fwd,delantero,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474917,1905,ohc,cuatro,91,2bbl,3.03,3.15,9.0,68,5000.0,7.580645161290323,6.184210526315789,6795.0,Low,False,True,True,False
39,1,113,mazda,cuatro,sedán,fwd,delantero,93.1,0.8015377222489188,0.8916666666666667,0.9046822742474917,1945,ohc,cuatro,91,2bbl,3.03,3.15,9.0,68,5000.0,7.580645161290323,6.184210526315789,6695.0,Low,False,True,True,False
40,1,113,mazda,cuatro,sedán,fwd,delantero,93.1,0.8015377222489188,0.8916666666666667,0.9046822742474917,1950,ohc,cuatro,91,2bbl,3.08,3.15,9.0,68,5000.0,7.580645161290323,6.184210526315789,7395.0,Low,False,True,True,False
41,3,150,mazda,dos,hatchback,rwd,delantero,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2380,rotor,dos,70,4bbl,3.3674093264248697,4.167253886010362,9.4,101,6000.0,13.823529411764707,10.217391304347826,10945.0,Low,False,True,True,False
42,3,150,mazda,dos,hatchback,rwd,delantero,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2380,rotor,dos,70,4bbl,3.3674093264248697,4.167253886010362,9.4,101,6000.0,13.823529411764707,10.217391304347826,11845.0,Low,False,True,True,False
43,3,150,mazda,dos,hatchback,rwd,delantero,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2385,rotor,dos,70,4bbl,3.3674093264248697,4.167253886010362,9.4,101,6000.0,13.823529411764707,10.217391304347826,13645.0,Low,False,True,True,False
44,3,150,mazda,dos,hatchback,rwd,delantero,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2500,rotor,dos,80,mpfi,3.3674093264248697,4.167253886010362,9.4,135,6000.0,14.6875,10.217391304347826,15645.0,Medium,False,True,True,False
45,1,129, Mazda, Dos, Hatchback, FWD, Delantero,98.8,0.8543969245555022,0.9236111111111112,0.8979933110367894, 2385, OHC, Cuatro, 122, 2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,7.34375,8845.0,Low,False,True,True,False
46,0,115,mazda,cuatro,sedán,fwd,delantero,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2410,ohc,cuatro,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,7.34375,8495.0,Low,False,True,True,False
47,1,129, Mazda, Dos, Hatchback, FWD, Delantero,98.8,0.8543969245555022,0.9236111111111112,0.8979933110367894, 2385, OHC, Cuatro, 122, 2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,7.34375,10595.0,Low,False,True,True,False
48,0,115,mazda,cuatro,sedán,fwd,delantero,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2410,ohc,cuatro,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,7.34375,10245.0,Low,False,True,True,False
49,0,123,mazda,,sedán,fwd,delantero,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2443,ohc,cuatro,122,idi,3.39,3.39,22.7,64,4650.0,6.527777777777778,5.595238095238095,10795.0,Low,True,False,True,False
50,0,115,mazda,cuatro,hatchback,fwd,delantero,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2425,ohc,cuatro,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,7.34375,11245.0,Low,False,True,True,False
51,0,118,mazda,cuatro,sedán,rwd,delantero,104.9,0.8409418548774628,0.9180555555555555,0.9096989966555185,2670,ohc,cuatro,140,mpfi,3.76,3.16,8.0,120,5000.0,12.368421052631579,8.703703703703704,18280.0,Medium,False,True,True,False
52,0,123,mazda,cuatro,sedán,rwd,delantero,104.9,0.8409418548774628,0.9180555555555555,0.9096989966555185,2700,ohc,cuatro,134,idi,3.43,3.64,22.0,72,4200.0,7.580645161290323,6.0256410256410255,18344.0,Low,True,False,True,False
53,-1,93,mercedes-benz,cuatro,sedán,rwd,delantero,110.0,0.9173474291206152,0.9763888888888889,0.9448160535117057,3515,ohc,cinco,183,idi,3.58,3.64,21.5,123,4350.0,10.681818181818182,9.4,25552.0,Medium,True,False,False,True
54,-1,93,mercedes-benz,cuatro,sedán,rwd,delantero,115.6,0.9735703988467083,0.9958333333333333,0.9414715719063546,3770,ohc,cinco,183,idi,3.58,3.64,21.5,123,4350.0,10.681818181818182,9.4,31600.0,Medium,True,False,False,True
55,-1,123,mercedes-benz,cuatro,sedán,rwd,delantero,115.6,0.9735703988467083,0.9958333333333333,0.9448160535117057,3740,ohcv,ocho,234,mpfi,3.46,3.1,8.3,155,4750.0,14.6875,13.055555555555555,34184.0,Medium,False,True,True,False
56,3,142,mercedes-benz,dos,convertible,rwd,delantero,96.6,0.8664103796251803,0.9791666666666666,0.8494983277591973,3685,ohcv,ocho,234,mpfi,3.46,3.1,8.3,155,4750.0,14.6875,13.055555555555555,35056.0,Medium,False,True,True,False
57,0,123,mercedes-benz,cuatro,sedán,rwd,delantero,120.9,1.0,0.9958333333333333,0.948160535117057,3900,ohcv,ocho,308,mpfi,3.8,3.35,8.0,184,4500.0,16.785714285714285,14.6875,40960.0,Medium,False,True,True,False
58,1,123,mercedes-benz,dos,techo rígido,rwd,delantero,112.0,0.9572320999519461,1.0,0.9264214046822743,3715,ohcv,ocho,304,mpfi,3.8,3.35,8.0,184,4500.0,16.785714285714285,14.6875,45400.0,Medium,False,True,True,False
59,1,123,mercurio,dos,hatchback,rwd,delantero,102.7,0.857280153772225,0.9444444444444444,0.9163879598662207,2910,ohc,cuatro,140,mpfi,3.78,3.12,8.0,175,5000.0,12.368421052631579,9.791666666666666,16503.0,Medium,False,True,False,True
60,2,161,mitsubishi,dos,hatchback,fwd,delantero,93.7,0.7558865929841423,0.8944444444444445,0.8494983277591973,1918,ohc,cuatro,92,2bbl,2.97,3.23,9.4,68,5500.0,6.351351351351352,5.7317073170731705,5389.0,Low,False,True,True,False
61,2,161,mitsubishi,dos,hatchback,fwd,delantero,93.7,0.7558865929841423,0.8944444444444445,0.8494983277591973,1944,ohc,cuatro,92,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,6.184210526315789,6189.0,Low,False,True,True,False
62,2,161,mitsubishi,dos,hatchback,fwd,delantero,93.7,0.7558865929841423,0.8944444444444445,0.8494983277591973,2004,ohc,cuatro,92,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,6.184210526315789,6669.0,Low,False,True,True,False
63,1,161,mitsubishi,dos,hatchback,fwd,delantero,93.0,0.7558865929841423,0.8861111111111111,0.8494983277591973,2145,ohc,cuatro,98,spdi,3.03,3.39,7.6,102,5500.0,9.791666666666666,7.833333333333333,7689.0,Low,False,True,False,True
64,3,153,mitsubishi,dos,hatchback,fwd,delantero,96.3,0.8313310908217203,0.9083333333333334,0.8260869565217391,2370,ohc,cuatro,110,spdi,3.17,3.46,7.5,116,5500.0,10.217391304347826,7.833333333333333,9959.0,Low,False,True,False,True
65,3,153,mitsubishi,dos,hatchback,fwd,delantero,96.3,0.8313310908217203,0.9083333333333334,0.8260869565217391,2328,ohc,cuatro,122,2bbl,3.35,3.46,8.5,88,5000.0,9.4,7.34375,8499.0,Low,False,True,True,False
66,3,123,mitsubishi,dos,hatchback,fwd,delantero,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2833,ohc,cuatro,156,spdi,3.58,3.86,7.0,145,5000.0,12.368421052631579,9.791666666666666,12629.0,Medium,False,True,False,True
67,3,123,mitsubishi,dos,hatchback,fwd,delantero,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2921,ohc,cuatro,156,spdi,3.59,3.86,7.0,145,5000.0,12.368421052631579,9.791666666666666,14869.0,Medium,False,True,False,True
68,3,123,mitsubishi,dos,hatchback,fwd,delantero,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2926,ohc,cuatro,156,spdi,3.59,3.86,7.0,145,5000.0,12.368421052631579,9.791666666666666,14489.0,Medium,False,True,False,True
69,1,125,mitsubishi,cuatro,sedán,fwd,delantero,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2365,ohc,cuatro,122,2bbl,3.35,3.46,8.5,88,5000.0,9.4,7.34375,6989.0,Low,False,True,True,False
70,1,125,mitsubishi,cuatro,sedán,fwd,delantero,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2405,ohc,cuatro,122,2bbl,3.35,3.46,8.5,88,5000.0,9.4,7.34375,8189.0,Low,False,True,True,False
71,1,125,mitsubishi,cuatro,sedán,fwd,delantero,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2403,ohc,cuatro,110,spdi,3.17,3.46,7.5,116,5500.0,10.217391304347826,7.833333333333333,9279.0,Low,False,True,False,True
72,-1,137,mitsubishi,cuatro,sedán,fwd,delantero,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2403,ohc,cuatro,110,spdi,3.17,3.46,7.5,116,5500.0,10.217391304347826,7.833333333333333,9279.0,Low,False,True,True,False
73,1,128,nissan,dos,sedán,fwd,delantero,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1889,ohc,cuatro,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,5499.0,Low,False,True,True,False
74,1,128,nissan,dos,sedán,fwd,delantero,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,2017,ohc,cuatro,103,idi,2.99,3.47,21.9,55,4800.0,5.222222222222222,4.7,7099.0,Low,True,False,True,False
75,1,128,nissan,dos,sedán,fwd,delantero,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1918,ohc,cuatro,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,6649.0,Low,False,True,True,False
76,1,122,nissan,cuatro,sedán,fwd,delantero,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1938,ohc,cuatro,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,6849.0,Low,False,True,True,False
77,1,103,nissan,cuatro,wagon,fwd,delantero,94.5,0.8178760211436809,0.8861111111111111,0.8946488294314382,2024,ohc,cuatro,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,7349.0,Low,False,True,True,False
78,1,128,nissan,dos,sedán,fwd,delantero,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1951,ohc,cuatro,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,7299.0,Low,False,True,True,False
79,1,128,nissan,dos,hatchback,fwd,delantero,94.5,0.7957712638154734,0.8861111111111111,0.8913043478260869,2028,ohc,cuatro,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,7799.0,Low,False,True,True,False
80,1,122,nissan,cuatro,sedán,fwd,delantero,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1971,ohc,cuatro,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,7499.0,Low,False,True,True,False
81,1,103,nissan,cuatro,wagon,fwd,delantero,94.5,0.8178760211436809,0.8861111111111111,0.8946488294314382,2037,ohc,cuatro,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,7999.0,Low,False,True,True,False
82,0,106,nissan,cuatro,hatchback,fwd,delantero,97.2,0.8332532436328689,0.9055555555555556,0.9147157190635452,2324,ohc,cuatro,120,2bbl,3.33,3.47,8.5,97,5200.0,8.703703703703704,6.911764705882353,8949.0,Low,False,True,True,False
83,0,106,nissan,cuatro,sedán,fwd,delantero,97.2,0.8332532436328689,0.9055555555555556,0.9147157190635452,2302,ohc,cuatro,120,2bbl,3.33,3.47,8.5,97,5200.0,8.703703703703704,6.911764705882353,9549.0,Low,False,True,True,False
84,0,128,nissan,cuatro,sedán,fwd,delantero,100.4,0.8731379144641999,0.9236111111111112,0.9214046822742475,3095,ohcv,seis,181,mpfi,3.43,3.27,9.0,152,5200.0,13.823529411764707,10.681818181818182,13499.0,Medium,False,True,True,False
85,0,108,nissan,cuatro,wagon,fwd,delantero,100.4,0.8870735223450265,0.9236111111111112,0.9381270903010034,3296,ohcv,seis,181,mpfi,3.43,3.27,9.0,152,5200.0,13.823529411764707,10.681818181818182,14399.0,Medium,False,True,True,False
86,0,108,nissan,cuatro,sedán,fwd,delantero,100.4,0.8870735223450265,0.9236111111111112,0.9214046822742475,3060,ohcv,seis,181,mpfi,3.43,3.27,9.0,152,5200.0,12.368421052631579,9.4,13499.0,Medium,False,True,True,False
87,3,194,nissan,dos,hatchback,rwd,delantero,91.3,0.8202787121576165,0.9430555555555556,0.831103678929766,3071,ohcv,seis,181,mpfi,3.43,3.27,9.0,160,5200.0,12.368421052631579,9.4,17199.0,Medium,False,True,True,False
